date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01 00:00:00,10.2,7.7,11.9,0,,198,10.5,27.8,1026.5,
2022-01-02 00:00:00,8.3,6.1,10.6,0.4,,203,14.4,42.6,1019,
2022-01-03 00:00:00,9.8,9.2,10.8,5.4,,213,23.8,46.3,1013.8,
2022-01-04 00:00:00,7.7,5.8,9.2,19.8,,222,11.7,31.5,999.6,
2022-01-05 00:00:00,4.4,3.1,5.9,3.4,,237,22.6,51.8,1007,
2022-01-06 00:00:00,3.3,0.8,5.3,0,,234,12.1,33.3,1018.8,
2022-01-07 00:00:00,1.5,0.4,2.8,2.5,,195,16.7,38.9,1017,
2022-01-08 00:00:00,2.4,0.6,3.9,6,,198,14.1,35.2,1010.8,
2022-01-09 00:00:00,4,1.8,5.8,7.6,,222,18.5,46.3,1001.5,
2022-01-10 00:00:00,1.9,0.1,3.4,0,,172,6.3,16.7,1021.7,
2022-01-11 00:00:00,0.1,-1.1,2,0,,57,5.4,14.8,1034.8,
2022-01-12 00:00:00,0.2,-1.7,2.6,0,,147,4.7,13,1040,
2022-01-13 00:00:00,-0.3,-2.2,1.6,0,,180,5.3,14.8,1042.2,
2022-01-14 00:00:00,0.1,-1.2,2.4,0,,211,5.5,16.7,1037.2,
2022-01-15 00:00:00,1.2,-0.8,3.1,0,,71,5.5,14.8,1030.5,
2022-01-16 00:00:00,1.8,0.6,3.1,0.1,,203,14.8,35.2,1027.4,
2022-01-17 00:00:00,4.6,3.3,5.8,0.1,,231,18.5,38.9,1033.3,
2022-01-18 00:00:00,4.2,2.2,6.1,0.1,,188,6.1,20.4,1038,
2022-01-19 00:00:00,1.9,0.1,3.3,0.3,,175,12.9,38.9,1028.3,
2022-01-20 00:00:00,3.3,1.7,4.7,0.4,,258,17.3,35.2,1026.5,
2022-01-21 00:00:00,1.7,-0.3,3.5,0.5,,250,13.4,29.6,1033,
2022-01-22 00:00:00,4.6,3,6.3,1.6,,241,13.8,27.8,1033.2,
2022-01-23 00:00:00,4.4,3,6.5,0,,346,5.8,16.7,1035.9,
2022-01-24 00:00:00,3.3,0.9,6.1,0,,68,6.2,18.5,1035.3,
2022-01-25 00:00:00,-0.2,-1.4,1.3,0,,136,5.1,13,1034.6,
2022-01-26 00:00:00,0.4,-1,1.8,0,,209,9.3,22.2,1033.5,
2022-01-27 00:00:00,2,0.7,3.8,1.1,,212,21.6,46.3,1028.3,
2022-01-28 00:00:00,4.5,3,7,0.4,,244,16,37,1033,
2022-01-29 00:00:00,5.5,3.2,7.9,0.6,,213,25.3,51.8,1028.4,
2022-01-30 00:00:00,5.7,1.9,7.9,0.2,,250,18.1,40.8,1027.9,
2022-01-31 00:00:00,3.4,1.1,4.8,5.3,,236,24.3,57.4,1013.2,
2022-02-01 00:00:00,4.2,2.9,6.4,2.5,,247,22.6,50,1017.6,
2022-02-02 00:00:00,7,5.6,9.4,0.5,,257,18.5,42.6,1018.5,
2022-02-03 00:00:00,7.1,5.5,8.8,1.2,,203,12,29.6,1018.9,
2022-02-04 00:00:00,6.7,5.7,8.2,2.1,,211,19.4,46.3,1013.8,
2022-02-05 00:00:00,4.7,3,7,0,,220,20.7,42.6,1021.8,
2022-02-06 00:00:00,5.6,4.5,6.4,11.4,,219,34,68.5,1010.9,
2022-02-07 00:00:00,5.1,2.7,8.1,4.2,,259,21.5,44.5,1020.2,
2022-02-08 00:00:00,5.6,2.2,8.1,0,,203,20,42.6,1030.4,
2022-02-09 00:00:00,7.8,4.9,11.3,0,,205,13.8,33.3,1028.3,
2022-02-10 00:00:00,5.1,2.2,7.8,1.9,,209,13.8,37,1022.4,
2022-02-11 00:00:00,4,0.8,6.2,4.4,,247,15.1,44.5,1028.6,
2022-02-12 00:00:00,0.8,-2.5,5,0,,111,5.5,18.5,1031.4,
2022-02-13 00:00:00,2.2,-2.9,8.3,0,,187,8.4,25.9,1018.9,
2022-02-14 00:00:00,6,1.4,10.7,0,,195,12.7,38.9,1008,
2022-02-15 00:00:00,7.3,5.9,9.2,1.2,,209,17.2,40.8,1012.7,
2022-02-16 00:00:00,8.7,5.8,12.3,7,,204,30.2,64.8,1005.5,
2022-02-17 00:00:00,11.4,7.3,13.1,1,,243,35.3,68.5,1006,
2022-02-18 00:00:00,8.8,6.3,12.2,3.8,,212,25.4,66.7,1007.4,
2022-02-19 00:00:00,7.1,5.3,9.2,0.3,,225,30.5,61.1,1015,
2022-02-20 00:00:00,7.9,5.5,9.8,6.5,,214,32.6,64.8,1011.8,
2022-02-21 00:00:00,7.5,5.5,10,4.9,,237,35.4,68.5,1004.4,
2022-02-22 00:00:00,7.1,5,8.9,1.8,,236,23,48.2,1018.7,
2022-02-23 00:00:00,7.4,4.4,11.4,0.3,,222,12,38.9,1025.3,
2022-02-24 00:00:00,6.4,2.7,10.7,1.9,,204,17,51.8,1016.1,
2022-02-25 00:00:00,3.9,1.5,6.5,1.2,,234,20.2,48.2,1023.9,
2022-02-26 00:00:00,3.5,0.1,8.1,0,,329,8,22.2,1034.1,
2022-02-27 00:00:00,3.4,-0.6,8.7,0,,69,10.1,29.6,1033.6,
2022-02-28 00:00:00,3.4,-1.6,9.7,0,,68,7.6,22.2,1032.9,
2022-03-01 00:00:00,2.5,-1.6,7.6,0,,73,7.6,22.2,1030.5,
2022-03-02 00:00:00,2.7,-1.4,8.4,0,,59,7.1,18.5,1024.7,
2022-03-03 00:00:00,3.5,-2.3,10.5,0,,46,8.7,25.9,1019.9,
2022-03-04 00:00:00,3.2,-1,8.6,0,,47,10.7,29.6,1021.8,
2022-03-05 00:00:00,2.4,-1.6,7,0,,63,8.5,24.1,1022.6,
2022-03-06 00:00:00,2,-2.2,6.2,0,,39,12.4,35.2,1024.3,
2022-03-07 00:00:00,1.7,-1.8,6,0,,49,12.4,35.2,1026.5,
2022-03-08 00:00:00,3,-2.5,9.7,0,,75,9.8,31.5,1024.2,
2022-03-09 00:00:00,4.2,-2.1,11.8,0,,83,6.5,20.4,1025.4,
2022-03-10 00:00:00,6.2,-1.1,14.1,0,,67,9,27.8,1025.4,
2022-03-11 00:00:00,6,0.7,12.6,0,,82,11.1,31.5,1020.8,
2022-03-12 00:00:00,6.9,2.1,13,0,,72,8.4,22.2,1020.4,
2022-03-13 00:00:00,7.5,1.6,14.2,0,,61,8.2,22.2,1017.7,
2022-03-14 00:00:00,7.8,5.2,12.2,3.4,,195,11,35.2,1026.2,
2022-03-15 00:00:00,5.9,3.4,8.6,6.9,,37,7.6,20.4,1026.8,
2022-03-16 00:00:00,8.1,2.6,14.4,0,,69,9.4,27.8,1025,
2022-03-17 00:00:00,7.8,5.7,10.1,1.1,,28,9.8,25.9,1028.3,
2022-03-18 00:00:00,8.1,3.2,13.6,0,,30,19.6,46.3,1039.8,
2022-03-19 00:00:00,7.3,3.2,11.2,0,,39,20.8,53.7,1038.7,
2022-03-20 00:00:00,8.7,3.3,15,0,,93,12.4,35.2,1029.9,
2022-03-21 00:00:00,9.8,3.8,17.1,0,,73,7.5,22.2,1032.7,
2022-03-22 00:00:00,9.5,2.5,17.2,0,,68,7.3,24.1,1032.6,
2022-03-23 00:00:00,9.8,1.5,18.5,0,,25,6.4,20.4,1031,
2022-03-24 00:00:00,10.4,2.1,18.8,0,,22,6.9,22.2,1028.9,
2022-03-25 00:00:00,10.9,3.3,18.2,0,,31,11.3,31.5,1028.5,
2022-03-26 00:00:00,11.8,4.4,18.8,0,,35,11.8,33.3,1030.2,
2022-03-27 00:00:00,12.8,6.3,19.2,0,,33,9.6,24.1,1029.7,
2022-03-28 00:00:00,13.1,5.8,21,0,,206,8.6,29.6,1023,
2022-03-29 00:00:00,11.3,7,15.7,0,,19,7.2,20.4,1011.6,
2022-03-30 00:00:00,8.8,6.6,10.7,6.5,,31,12.4,27.8,1003.3,
2022-03-31 00:00:00,5.8,4.1,7.5,4.4,,34,13,33.3,998.7,
2022-04-01 00:00:00,1.8,0,4.1,13,,22,20.5,44.5,1003,
2022-04-02 00:00:00,1.1,-0.4,2.7,7.1,,21,21,44.5,1013.8,
2022-04-03 00:00:00,2.8,-0.7,6.3,0,,3,10.1,29.6,1022,
